
2bar-1---SST: 5592.811942097919, SSE: 2698.9577200237936, SSR: 2893.8542220741256, R_squared: 0.4825186573651228
2bar-2---SST: 11713.012060205045, SSE: 5758.038699679685, SSR: 5954.97336052536, R_squared: 0.4915594399562757
2bar-3---SST: 16277.746298374372, SSE: 8024.646145280717, SSR: 8253.100153093654, R_squared: 0.492943620489974
6bar-1---SST: 846.1758919331581, SSE: 372.3039442231309, SSR: 473.87194771002726, R_squared: 0.43989073994982675
6bar-2---SST: 2653.9514515324586, SSE: 1253.053919049412, SSR: 1400.8975324830467, R_squared: 0.47207108212594606
6bar-3---SST: 1260.9257341163338, SSE: 536.9640635790606, SSR: 723.9616705372731, R_squared: 0.42576703480606215
10bar-1---SST: 3086.150289692799, SSE: 1490.1661985045776, SSR: 1595.9840911882216, R_squared: 0.48276978520349545
10bar-2---SST: 2405.820351677423, SSE: 1133.9618010046138, SSR: 1271.8585506728093, R_squared: 0.471265468432838
10bar-3---SST: 2612.206757873892, SSE: 1238.4552411669001, SSR: 1373.7515167069919, R_squared: 0.4740279195474353
14bar-1---SST: 52710.80125930296, SSE: 26200.707324130446, SSR: 26510.093935172517, R_squared: 0.4970149411228173
14bar-2---SST: 33114.26284603862, SSE: 16503.394928611287, SSR: 16610.867917427327, R_squared: 0.4983145216797782
14bar-3---SST: 40763.35178759458, SSE: 20315.77589095114, SSR: 20447.57589664344, R_squared: 0.49832063395236803
